date;sol_price_usd;fdv_usd
2025-03-11;118.7864;
2025-03-12;125.4288;
2025-03-13;126.5654;
2025-03-14;123.2377;
2025-03-15;133.5545;
2025-03-16;135.8381;
2025-03-17;126.1651;
2025-03-18;128.2798;
2025-03-19;125.3441;
2025-03-20;135.6228;
2025-03-21;127.6763;
2025-03-22;128.2397;
2025-03-23;128.3919;
2025-03-24;132.1011;
2025-03-25;140.5794;
2025-03-26;143.9331;
2025-03-27;137.0933;
2025-03-28;138.379;
2025-03-29;129.4462;
2025-03-30;124.5019;
2025-03-31;124.5806;
2025-04-01;124.8662;
2025-04-02;126.8069;
2025-04-03;118.0855;
2025-04-04;117.193;
2025-04-05;122.7131;
2025-04-06;120.1684;
2025-04-07;105.7652;
2025-04-08;106.7968;
2025-04-09;105.4865;
2025-04-10;118.9629;
2025-04-11;112.8862;
2025-04-12;121.3925;
2025-04-13;132.1544;
2025-04-14;128.2347;
2025-04-15;129.4218;
2025-04-16;126.3039;
2025-04-17;131.4761;
2025-04-18;134.6152;
2025-04-19;133.9761;
2025-04-20;139.6425;
2025-04-21;137.6316;
2025-04-22;136.3304;
2025-04-23;148.804;
2025-04-24;150.9999;
2025-04-25;152.3299;
2025-04-26;150.9201;
2025-04-27;149.1463;
2025-04-28;148.2467;
2025-04-29;147.9908;
2025-04-30;146.4931;
2025-05-01;147.7335;
2025-05-02;150.7605;
2025-05-03;147.9721;
2025-05-04;146.7975;
2025-05-05;143.9823;
2025-05-06;146.8107;
2025-05-07;146.9094;
2025-05-08;147.2006;
2025-05-09;163.4163;
2025-05-10;172.6971;
2025-05-11;177.3428;
2025-05-12;172.8578;
2025-05-13;174.4195;
2025-05-14;184.0538;
2025-05-15;176.4551;
2025-05-16;168.7527;
2025-05-17;167.7681;
2025-05-18;165.9394;
2025-05-19;171.5407;
2025-05-20;166.7149;
2025-05-21;168.3857;
2025-05-22;173.9677;
2025-05-23;179.5788;
2025-05-24;174.4357;
2025-05-25;175.9976;
2025-05-26;175.132;
2025-05-27;174.7167;
2025-05-28;176.5778;
2025-05-29;172.1207;
2025-05-30;166.8389;
2025-05-31;156.5126;
2025-06-01;156.8697;
2025-06-02;157.6309;
2025-06-03;156.9713;
2025-06-04;155.5761;
2025-06-05;153.5293;
2025-06-06;144.5478;
2025-06-07;148.2729;
2025-06-08;150.0754;
2025-06-09;152.5045;
2025-06-10;161.1598;
2025-06-11;164.9644;
2025-06-12;161.0199;
2025-06-13;152.6605;
2025-06-14;148.5304;
2025-06-15;144.7515;
2025-06-16;152.6849;
2025-06-17;151.4355;
2025-06-18;147.9919;
2025-06-19;146.277;
2025-06-20;147.0992;
2025-06-21;140.0401;
2025-06-22;133.71;
2025-06-23;131.8135;
2025-06-24;144.7816;
2025-06-25;145.802;
2025-06-26;143.3701;
2025-06-27;138.978;
2025-06-28;142.1268;
2025-06-29;150.7812;
2025-06-30;153.3188;
2025-07-01;154.9375;
2025-07-02;146.8412;
2025-07-03;152.168;
2025-07-04;152.2806;
2025-07-05;147.763;
2025-07-06;147.6007;
2025-07-07;151.921;
2025-07-08;148.7901;
2025-07-09;151.8308;
2025-07-10;157.2077;
2025-07-11;163.8582;
2025-07-12;162.7532;
2025-07-13;160.4692;
2025-07-14;161.2426;
2025-07-15;162.2822;
2025-07-16;163.9658;
2025-07-17;173.829;
2025-07-18;176.0976;
2025-07-19;177.3698;
2025-07-20;176.9108;
2025-07-21;180.9922;
2025-07-22;196.4238;
2025-07-23;205.2909;
2025-07-24;189.5923;
2025-07-25;182.5608;
2025-07-26;186.1718;
2025-07-27;184.9396;
2025-07-28;188.5758;
2025-07-29;183.0303;
2025-07-30;181.1678;
2025-07-31;177.8781;
2025-08-01;172.163;
2025-08-02;162.7913;
2025-08-03;158.5313;
2025-08-04;161.9031;
2025-08-05;169.4152;
2025-08-06;164.0836;
2025-08-07;168.1732;
2025-08-08;175.3851;
2025-08-09;176.7954;
